Session,Assessor,Product,Fineness of texture,Reflection,Transparency,Thickness Flow,Peaking,Stringy,Cushion,Instant whitening,Covering,Pick up,Bounce,Firmness,Spreadability,Watery,Greasiness,Cooling,Shininess instant ,Smoothness instant ,Stickiness instant ,Residue instant ,Shininess 2 min ,Smoothness 2 min ,Stickiness 2 min ,Residue 2 min ,Shininess 5 min ,Smoothness 5 min ,Stickiness 5 min ,Residue 5 min ,Speed of absorption,Overall_Texture,Color_Tone,Overall_Spreadability,Absorption_Speed,Odour_after_applying,Smoothness,Leaves_no_residue_feel,Stickiness,Moisturizing,Brightening_effect,Tightening,Overall_Liking
2,7,Olay_brightening,10,12,8.5,6,1,3,5,0,0,4,2,3.5,11,10.5,6,7,6.5,6.5,6.5,6.5,6,8,5,5,5,9,4.5,4.5,10,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,10,Olay_brightening,9,11,7.5,5,1,1.5,4,1,0.5,2,2,2,12,6,8,8,9,7.5,7.5,7.5,8,6,6.5,6,7,5.5,6,5,7.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,11,Olay_brightening,10,10,6.5,2.5,2.5,3,3,2,2,6,5,2,10.5,3.5,7.5,4.5,7.5,4.5,3,7,7,5,3,6,6,5,3,5,7,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,12,Olay_brightening,12.5,9,9,4,1,2.5,7,1,1,7,6,1,10.5,6,7.5,4.5,7.5,6.5,6.5,7.5,7,7.5,6,7,6.5,7.5,3.5,6,8.5,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,14,Olay_brightening,10,11.5,8,5,4,3.5,6,0,0,7,2.5,2.5,9,7,6,5,7.5,6.5,6,6.5,6.5,6.5,6,7,6.5,7,6,6.5,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,15,Olay_brightening,10,11.5,9.5,4.5,1,1.5,7,0,0,4,1.5,2,9.5,6,7.5,6.5,9,8,6.5,5.5,8.5,8,7,5,8,8,6.5,4,10,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,16,Olay_brightening,11.5,10,12,5,2,2,2.5,1.5,1.5,2.5,2,2.5,9.5,8.5,6.5,7,7,7,6.5,6.5,6,8,4.5,4.5,5.5,8.5,3.5,3.5,10,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,17,Olay_brightening,10,9,10,5,1.5,2,6,0,0,5,6,5.5,9.5,7,8,7,8,6.5,8.5,7,5.5,6.5,6,5.5,5,7.5,4,4,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
2,22,Olay_brightening,12,8,12,3.5,1,3,4.5,0,0,4.5,3,3,12.5,8,9.5,7.5,8.5,8,6,7,7.5,8,5.5,6.5,6.5,8.5,4,6,8,4.090909091,4.165289256,4.388429752,4.140495868,3.338842975,4.066115702,4.082644628,3.752066116,4.140495868,3.743801653,3.743801653,4.049586777
1,2,Estee_advanced,12,11.5,11,4,1.5,1.5,8,1,1,4,4,3.5,11.5,10,5.5,8.5,8.5,8.5,7.5,8,7.5,7,6.5,7,6.5,6,5.5,6,7.5,4.123966942,3.801652893,4.380165289,3.991735537,3.20661157,4.066115702,3.991735537,3.628099174,4.132231405,3.884297521,3.809917355,3.933884298
